SquareFootage,Bedrooms,Bathrooms,Age_years,Neighborhood_Quality,Price
2100,4,3,5,3,450500
1500,3,2,20,2,310000
2800,5,4,2,3,585200
1200,2,1,45,1,180300
1800,3,2,10,2,355000
3100,5,4,1,3,640800
1650,3,2,25,2,325000
2300,4,3,8,3,480100
1400,3,2,30,1,245500
1950,4,3,15,2,380000
2500,4,3,3,3,520600
1100,2,1,50,1,165400
2000,4,2,12,2,390200
2200,4,3,7,3,465300
1750,3,2,18,2,345000
3000,5,4,4,3,620700
1300,2,2,35,1,220000
2400,4,3,6,3,500000
1550,3,2,22,2,315000
2900,5,3,3,3,600100
1250,2,1,40,1,195800
2150,4,3,9,3,455900
1850,3,3,14,2,365400
2600,4,3,5,3,540000
1450,3,2,28,1,260200
2700,5,3,2,3,565300
1900,3,2,11,2,370000
2050,4,2,10,2,400500
1150,2,1,48,1,175000
2250,4,3,8,3,475000
